지점번호,종료시각,시작시각,지점명(한글),위도(degree),경도(degree),노장 해발고도(m)
47090,2100123100,2001060100,속초,38.25085,128.56472,18.06
47102,2100123100,2000040100,백령도,37.96611,124.63046,144.86
47104,2012030700,2012010300,북강릉,37.80456,128.85535,78.9
47122,2100123100,1957040106,오산,37.099998,127.033333,52
47138,2100123100,1966111200,포항,36.03259,129.37963,2.28
47158,2100123100,1978010618,광주,35.116665,126.816666,13
47169,2100123100,2003050700,흑산도,34.68719,125.45103,76.49
47185,2100123100,1988050100,고산,33.29382,126.16283,74.29
